set_id,set_name,price_vnd,source_url,item_order,raw_item_text
SM350_01,"Set menu 350.000đ /người (1)",350000,https://comnieuvietnam.vn/products/set-menu-350-000d-nguoi-1,2,"GÀ HẤP MẮM NHĨ"
SM350_01,"Set menu 350.000đ /người (1)",350000,https://comnieuvietnam.vn/products/set-menu-350-000d-nguoi-1,3,"BẮP BÒ NGÂM NƯỚC MẮM"
SM350_01,"Set menu 350.000đ /người (1)",350000,https://comnieuvietnam.vn/products/set-menu-350-000d-nguoi-1,4,"CÁ KHO LÀNG VŨ ĐẠI"
SM350_01,"Set menu 350.000đ /người (1)",350000,https://comnieuvietnam.vn/products/set-menu-350-000d-nguoi-1,5,"TÔM CÀNG HẤP NƯỚC DỪA"
SM350_01,"Set menu 350.000đ /người (1)",350000,https://comnieuvietnam.vn/products/set-menu-350-000d-nguoi-1,6,"LẨU CUA NẤU BẦU"
SM350_01,"Set menu 350.000đ /người (1)",350000,https://comnieuvietnam.vn/products/set-menu-350-000d-nguoi-1,7,"CƠM NIÊU"
SM350_01,"Set menu 350.000đ /người (1)",350000,https://comnieuvietnam.vn/products/set-menu-350-000d-nguoi-1,8,"TRÁI CÂY + KHĂN LẠNH + TRÀ ĐÁ"
SM350_02,"Set menu 350.000đ /người (2)",350000,https://comnieuvietnam.vn/products/set-menu-350-000d-nguoi-3,1,"GÂN BÒ XÀO CẢI CHUA"
SM350_02,"Set menu 350.000đ /người (2)",350000,https://comnieuvietnam.vn/products/set-menu-350-000d-nguoi-3,2,"CHẢ MỰC HẠ LONG"
SM350_02,"Set menu 350.000đ /người (2)",350000,https://comnieuvietnam.vn/products/set-menu-350-000d-nguoi-3,3,"CÁ KHO LÀNG VŨ ĐẠI"
SM350_02,"Set menu 350.000đ /người (2)",350000,https://comnieuvietnam.vn/products/set-menu-350-000d-nguoi-3,4,"GÀ SỐT NẤM ĐÔNG CÔ"
SM350_02,"Set menu 350.000đ /người (2)",350000,https://comnieuvietnam.vn/products/set-menu-350-000d-nguoi-3,5,"NEM GHẸ PHÚ QUÔC"
SM350_02,"Set menu 350.000đ /người (2)",350000,https://comnieuvietnam.vn/products/set-menu-350-000d-nguoi-3,6,"LẨU VỊT OM SẤU"
SM350_02,"Set menu 350.000đ /người (2)",350000,https://comnieuvietnam.vn/products/set-menu-350-000d-nguoi-3,7,"CƠM NIÊU"
SM350_02,"Set menu 350.000đ /người (2)",350000,https://comnieuvietnam.vn/products/set-menu-350-000d-nguoi-3,8,"TRÁI CÂY + KHĂN LẠNH + TRÀ ĐÁ"
SM450_01,"Set menu 450.000đ /người",450000,https://comnieuvietnam.vn/products/set-menu-450-000d-nguoi,1,"GÂN BÒ XÀO CẢI CHUA"
SM450_01,"Set menu 450.000đ /người",450000,https://comnieuvietnam.vn/products/set-menu-450-000d-nguoi,2,"GÀ XÀO XẢ ỚT"
SM450_01,"Set menu 450.000đ /người",450000,https://comnieuvietnam.vn/products/set-menu-450-000d-nguoi,3,"CÁ BỐNG MÚ CHƯNG TƯƠNG"
SM450_01,"Set menu 450.000đ /người",450000,https://comnieuvietnam.vn/products/set-menu-450-000d-nguoi,4,"TÔM CÀNG RANG MUỐI"
SM450_01,"Set menu 450.000đ /người",450000,https://comnieuvietnam.vn/products/set-menu-450-000d-nguoi,5,"NEM RÁN THỊT GHẸ"
SM450_01,"Set menu 450.000đ /người",450000,https://comnieuvietnam.vn/products/set-menu-450-000d-nguoi,6,"MĂNG XÀO THỊT BA RỌI"
SM450_01,"Set menu 450.000đ /người",450000,https://comnieuvietnam.vn/products/set-menu-450-000d-nguoi,7,"MỰC 1 NẮNG CHIÊN NƯỚC MẮM"
SM450_01,"Set menu 450.000đ /người",450000,https://comnieuvietnam.vn/products/set-menu-450-000d-nguoi,8,"LẨU RIÊU CÁ CHÉP GIÒN"
SM450_01,"Set menu 450.000đ /người",450000,https://comnieuvietnam.vn/products/set-menu-450-000d-nguoi,9,"CƠM NIÊU"
SM450_01,"Set menu 450.000đ /người",450000,https://comnieuvietnam.vn/products/set-menu-450-000d-nguoi,10,"TRÁI CÂY + KHĂN LẠNH + TRÀ ĐÁ"
