set_id,set_name,price_vnd,source_url,item_order,raw_item_text,item_name_clean,item_role,included_in_mining
SM250_02,Set menu 250.000đ /người (2),250000,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-2,6,CANH CHUA CÁ DỨA,Canh chua cá dứa,core,1
SM250_02,Set menu 250.000đ /người (2),250000,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-2,7,CƠM NIÊU,Cơm niêu,common,0
SM250_02,Set menu 250.000đ /người (2),250000,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-2,8,TRÁI CÂY + KHĂN LẠNH + TRÀ ĐÁ,Trái cây,service,0
SM250_02,Set menu 250.000đ /người (2),250000,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-2,8,TRÁI CÂY + KHĂN LẠNH + TRÀ ĐÁ,Khăn lạnh,service,0
SM250_02,Set menu 250.000đ /người (2),250000,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-2,8,TRÁI CÂY + KHĂN LẠNH + TRÀ ĐÁ,Trà đá,service,0
SM250_03,Set menu 250.000đ /người (3),250000,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-3,1,RAU RỪNG GIA LAI XÀO BÒ,Rau rừng gia lai xào bò,core,1
SM250_03,Set menu 250.000đ /người (3),250000,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-3,2,GÀ KHO XẢ ỚT,Gà kho sả ớt,core,1
SM250_03,Set menu 250.000đ /người (3),250000,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-3,3,THỊT RANG CHÁY CẠNH,Thịt rang cháy cạnh,core,1
SM250_03,Set menu 250.000đ /người (3),250000,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-3,4,CÁ CHIM HẤP HONG KONG,Cá chim hấp hong kong,core,1
SM250_03,Set menu 250.000đ /người (3),250000,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-3,5,TÔM CHIÊN NƯỚC MẮM,Tôm chiên nước mắm,core,1
SM250_03,Set menu 250.000đ /người (3),250000,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-3,6,CANH HẾN (DẮT) MỒNG TƠI,Canh hến (dắt) mồng tơi,core,1
SM250_03,Set menu 250.000đ /người (3),250000,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-3,7,CƠM NIÊU,Cơm niêu,common,0
SM250_03,Set menu 250.000đ /người (3),250000,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-3,8,TRÁI CÂY + KHĂN LẠNH + TRÀ ĐÁ,Trái cây,service,0
SM250_03,Set menu 250.000đ /người (3),250000,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-3,8,TRÁI CÂY + KHĂN LẠNH + TRÀ ĐÁ,Khăn lạnh,service,0
SM250_03,Set menu 250.000đ /người (3),250000,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-3,8,TRÁI CÂY + KHĂN LẠNH + TRÀ ĐÁ,Trà đá,service,0
SM300_01,Set menu 300.000đ /người (1),300000,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-1,1,GỎI BÒ ĐỒNG QUÊ,Gỏi bò đồng quê,core,1
SM300_01,Set menu 300.000đ /người (1),300000,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-1,2,GÀ HẤP CẢI XANH,Gà hấp cải xanh,core,1
SM300_01,Set menu 300.000đ /người (1),300000,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-1,3,CÁ BỐNG MÚ CHƯNG TƯƠNG,Cá bống mú chưng tương,core,1
SM300_01,Set menu 300.000đ /người (1),300000,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-1,4,BÒ SỐT TIÊU ĐEN,Bò sốt tiêu đen,core,1
SM300_01,Set menu 300.000đ /người (1),300000,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-1,5,TÔM CÀNG CHÁY BƠ TỎI,Tôm càng cháy bơ tỏi,core,1
SM300_01,Set menu 300.000đ /người (1),300000,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-1,6,LẨU VỊT OM SẤU,Lẩu vịt om sấu,core,1
SM300_01,Set menu 300.000đ /người (1),300000,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-1,7,CƠM NIÊU,Cơm niêu,common,0
SM300_01,Set menu 300.000đ /người (1),300000,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-1,8,TRÁI CÂY + KHĂN LẠNH + TRÀ ĐÁ,Trái cây,service,0
SM300_01,Set menu 300.000đ /người (1),300000,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-1,8,TRÁI CÂY + KHĂN LẠNH + TRÀ ĐÁ,Khăn lạnh,service,0
SM300_01,Set menu 300.000đ /người (1),300000,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-1,8,TRÁI CÂY + KHĂN LẠNH + TRÀ ĐÁ,Trà đá,service,0
SM300_02,Set menu 300.000đ /người (2),300000,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-2,1,GỎI THÁI HẢI SẢN,Gỏi thái hải sản,core,1
SM300_02,Set menu 300.000đ /người (2),300000,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-2,2,GÀ HẤP MẮM NHĨ,Gà hấp mắm nhĩ,core,1
SM300_02,Set menu 300.000đ /người (2),300000,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-2,3,CÁ KHO LÀNG VŨ ĐẠI,Cá kho làng vũ đại,core,1
SM300_02,Set menu 300.000đ /người (2),300000,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-2,4,BẮP BÒ NGÂM NƯỚC MẮM,Bắp bò ngâm nước mắm,core,1
SM300_02,Set menu 300.000đ /người (2),300000,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-2,5,TÔM CÀNG XANH RANG MUỐI,Tôm càng xanh rang muối,core,1
SM300_02,Set menu 300.000đ /người (2),300000,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-2,6,LẨU NGÓT CÁ CHIM,Lẩu ngót cá chim,core,1
SM300_02,Set menu 300.000đ /người (2),300000,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-2,7,CƠM NIÊU,Cơm niêu,common,0
SM300_02,Set menu 300.000đ /người (2),300000,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-2,8,TRÁI CÂY + KHĂN LẠNH + TRÀ ĐÁ,Trái cây,service,0
SM300_02,Set menu 300.000đ /người (2),300000,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-2,8,TRÁI CÂY + KHĂN LẠNH + TRÀ ĐÁ,Khăn lạnh,service,0
SM300_02,Set menu 300.000đ /người (2),300000,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-2,8,TRÁI CÂY + KHĂN LẠNH + TRÀ ĐÁ,Trà đá,service,0
SM300_03,Set menu 300.000đ /người (3),300000,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-3,1,SALAD CẢI MẦM BÒ,Salad cải mầm bò,core,1
