transaction_id,product_name,main_category,item_count,items,source
3250541920139,MAILLE Mayonnaise Fins Gourmets Bocal 320g,groceries,12,huile de colza | moutarde de dijon (eau | graines de moutarde | vinaigre d'alcool | jaune d'œuf | vinaigre de cidre | moutarde à l'ancienne 2 | arôme naturel | jus de citron concentré | épices | antioxydant : extraits de romarin | colorant : caroténoïdes,Open Food Facts
8715035130104,Salsa di Soia,soy sauces,7,acqua | soia | frumento | sale | aceto di spirito | alcol | zucchero,Open Food Facts
8076809543934,Provencale 400g fra,groceries,10,pulpe de tomates | concentré de tomates | oignons | huiles végétales (olive | tournesol | persil 0 | thym 0 | ail | origan 0 | poivre noir,Open Food Facts
50457243,Heinz Ketchup,groceries,3,tomatoes | spirit vinegar | spice and herb extracts,Open Food Facts
8480000171320,Tomate frito,groceries,5,tomate | aceite refinado de girasol | almidón de maíz | cebolla | ajo y conservador,Open Food Facts
8076809517751,Pesto alla Calabrese 190g,red pestos,15,poivrons rouges | huile de tournesol | fromage ricotta | lait | oignons | concentré de tomates | lactosérum en poudre | fromage pecorino romano aop | fromage grana padano aop (lait | lysozyme d'oeuf | amidon de riz | correcteur d'acidité : acide lactique | piment 0 | origan | arôme naturel,Open Food Facts
50457236,Ketchup,groceries,3,tomatoes | spirit vinegar | spice and herb extracts,Open Food Facts
3038359004544,Sauce Tomate concentrée cuisinée aux petits légumes,sauces tomates cuisinée aux petits légumes,8,concentré de tomate | oignons réhydratés | huile de colza | farine de ble | fromage edam | carottes 0 | arôme naturel d'épices et aromates | jus de citron,Open Food Facts
8710522920725,AMORA Mayonnaise 5 Ingrédients 400g,groceries,3,graines de moutarde | vinaigre d'alcool | une touche de sel 0,Open Food Facts
87157277,Tomato Ketchup 910g,groceries,5,tomates | vinaigre | extraits d'épices et d'herbes | céleri | épice,Open Food Facts
20425555,Pesto alla Genovese,condimentos,11,40 | huile de numesol | basilic | noix de cajou | parmigiano reggiano aop (lait | sel poudre de lactoserum | lactoprotéines | huile d'olive vierge extra | al | and mais correcteur d'acidité: acide lactique | antioxydant: acide ascorbique. t,Open Food Facts
8480000808585,Hummus Classic,groceries,7,garbanzos | aceite de girasol | pasta de sésamo | zumo de limón | aceite de oliva 1 | ajo molido | acidulantes y conservador . contiene: sésamo,Open Food Facts
8711200548033,Amora Mayonnaise De Dijon Flacon Souple 235g,groceries,9,huile de colza | vinaigre de vin blanc | moutarde de dijon (eau | graines de moutarde | vinaigre d'alcool | jaune d'œuf origine france 5 | arômes | épaississant : gomme xanthane | colorants : lutéine et extrait de paprika,Open Food Facts
8720182460042,AMORA MUST Miforte 415g,mustards,7,graines de moutarde | vinaigre d'alcool | huile de colza | farine de moutarde | stabilisant : gomme xanthane | acidifiant : acide citrique | conservateur : disulfite de potassium,Open Food Facts
3038352875035,Tomacouli Nature,tomates et dérivés,5,fresh tomatoes | vegetable | fruit vegetable | tomato | e330,Open Food Facts
80042563,Mutti Solo Pomodoro Parma Passierte italienische Tomaten,groceries,3,tomato | vegetable | fruit vegetable,Open Food Facts
3660603004774,Sauce Béarnaise bocal,shelf stable other sauces,11,huile de colza | vinaigre d'alcool | jaunes d'œufs | estragon (1 | échalotes (1 | cerfeuil | jus de citron à base de concentré | piment fort | arôme naturel | amidon modifié | colorant : bêta carotène,Open Food Facts
8714100846179,Maille Vinaigrette Légère Vinaigre de Vin Rouge & Échalotes 36cl,vinaigrette légère,9,vinaigre de vin rouge | huile de colza | jus de raisin concentré | oignon rouge en poudre 0 | épaississants : carraghénanes et gomme xanthane | échalote en poudre 0 | épices (piment jalapeño | paprika). peut contenir : moutarde | sésame,Open Food Facts
8711200547982,Mayonnaise de Dijon,groceries,11,vegetable oils (sunflower | rapeseed | white wine vinegar | dijon mustard (water | mustard seeds | spirit vinegar | egg yolk from france | dextrin | thickener : xanthan gum | aroma | colourings : lutein and paprika extract,Open Food Facts
8480000235794,Ketchup,molhos de tomate,5,tomate | vinagre de alcohol | almidón modificado de maíz | conservadores | extracto de especias y especia,Open Food Facts
3034450001123,Viandox 160ml,groceries,11,extrait de levure | arômes | colorants : e 150c et e 150a | sauce soja (eau | graines de soja | blé | exhausteurs de goût : glutamate de sodium | inosinate disodique et guanylate disodique | acidifiants : acide lactique et acide citrique | sirop de glucose | émulsifiant : mono et diglycérides d'acides gras,Open Food Facts
