transaction_id,set_name,slot_index,item_name,item_key,is_service_item,source_url
SM011,Set menu 450.000đ /người,1,Gân Bò Xào Cải Chua,gan bo xao cai chua,0,https://comnieuvietnam.vn/products/set-menu-450-000d-nguoi
SM011,Set menu 450.000đ /người,2,Gà Xào Sả Ớt,ga xao sa ot,0,https://comnieuvietnam.vn/products/set-menu-450-000d-nguoi
SM011,Set menu 450.000đ /người,3,Cá Bống Mú Chưng Tương,ca bong mu chung tuong,0,https://comnieuvietnam.vn/products/set-menu-450-000d-nguoi
SM011,Set menu 450.000đ /người,4,Tôm Càng Rang Muối,tom cang rang muoi,0,https://comnieuvietnam.vn/products/set-menu-450-000d-nguoi
SM011,Set menu 450.000đ /người,5,Nem Rán Thịt Ghẹ,nem ran thit ghe,0,https://comnieuvietnam.vn/products/set-menu-450-000d-nguoi
SM011,Set menu 450.000đ /người,6,Măng Xào Thịt Ba Rọi,mang xao thit ba roi,0,https://comnieuvietnam.vn/products/set-menu-450-000d-nguoi
SM011,Set menu 450.000đ /người,7,Mực 1 Nắng Chiên Nước Mắm,muc 1 nang chien nuoc mam,0,https://comnieuvietnam.vn/products/set-menu-450-000d-nguoi
SM011,Set menu 450.000đ /người,8,Lẩu Riêu Cá Chép Giòn,lau rieu ca chep gion,0,https://comnieuvietnam.vn/products/set-menu-450-000d-nguoi
SM012,Set menu 350.000đ /người (2),1,Gân Bò Xào Cải Chua,gan bo xao cai chua,0,https://comnieuvietnam.vn/products/set-menu-350-000d-nguoi-3
SM012,Set menu 350.000đ /người (2),2,Chả Mực Hạ Long,cha muc ha long,0,https://comnieuvietnam.vn/products/set-menu-350-000d-nguoi-3
SM012,Set menu 350.000đ /người (2),3,Cá Kho Làng Vũ Đại,ca kho lang vu ai,0,https://comnieuvietnam.vn/products/set-menu-350-000d-nguoi-3
SM012,Set menu 350.000đ /người (2),4,Gà Sốt Nấm Đông Cô,ga sot nam ong co,0,https://comnieuvietnam.vn/products/set-menu-350-000d-nguoi-3
SM012,Set menu 350.000đ /người (2),5,Nem Ghẹ Phú Quốc,nem ghe phu quoc,0,https://comnieuvietnam.vn/products/set-menu-350-000d-nguoi-3
SM012,Set menu 350.000đ /người (2),6,Lẩu Vịt Om Sấu,lau vit om sau,0,https://comnieuvietnam.vn/products/set-menu-350-000d-nguoi-3
SM012,Set menu 350.000đ /người (2),7,Cơm Niêu,com nieu,1,https://comnieuvietnam.vn/products/set-menu-350-000d-nguoi-3
SM012,Set menu 350.000đ /người (2),8,Trái Cây,trai cay,1,https://comnieuvietnam.vn/products/set-menu-350-000d-nguoi-3
SM012,Set menu 350.000đ /người (2),9,Khăn Lạnh,khan lanh,1,https://comnieuvietnam.vn/products/set-menu-350-000d-nguoi-3
SM012,Set menu 350.000đ /người (2),10,Trà Đá,tra a,0,https://comnieuvietnam.vn/products/set-menu-350-000d-nguoi-3
